ped_id,time_s,x,y,gt_x_1s,gt_y_1s,pred_x_1s,pred_y_1s
153,894.75,-1.282,2.577,-0.699,1.926,-0.688,1.558
153,895.0,-1.127,2.286,-0.495,1.781,-0.511,1.416
153,895.25,-0.962,1.994,-0.253,1.693,-0.307,0.928
153,895.5,-0.855,1.887,-0.155,1.625,-0.318,0.756
153,895.75,-0.699,1.926,0.078,1.489,-0.164,0.998
153,896.0,-0.495,1.781,0.262,1.441,0.231,1.217
153,896.25,-0.253,1.693,0.34,1.411,0.671,1.298
153,896.5,-0.155,1.625,0.321,1.421,0.561,1.305
153,896.75,0.078,1.489,0.903,1.392,0.827,1.149
153,897.0,0.262,1.441,1.107,1.392,1.038,1.046
153,897.25,0.34,1.411,1.205,1.373,0.91,1.049
153,897.5,0.321,1.421,1.107,1.392,0.478,1.175
153,897.75,0.903,1.392,1.496,1.295,1.76,1.259
154,904.25,1.311,2.121,0.427,1.965,0.183,1.612
154,905.0,0.709,2.014,-0.068,2.111,-0.031,1.985
154,905.25,0.427,1.965,-0.272,2.091,-0.591,1.806
154,905.5,0.486,2.072,-0.369,2.227,0.029,1.866
154,905.75,0.117,1.936,-0.563,2.334,-0.777,1.934
154,906.0,-0.068,2.111,-0.777,2.412,-0.987,2.093
154,906.25,-0.272,2.091,-0.777,2.393,-1.131,2.233
154,906.5,-0.369,2.227,-1.01,2.703,-0.993,2.464
154,907.0,-0.777,2.412,-1.302,3.034,-1.368,2.715
156,921.25,-1.311,1.178,-0.194,1.46,-0.864,1.516
156,921.5,-1.137,1.207,0.039,1.47,-0.558,1.481
156,921.75,-0.816,1.217,0.078,1.46,0.153,1.249
156,922.0,-0.903,1.198,0.185,1.47,-0.534,1.188
156,922.5,0.039,1.47,1.078,1.8,0.229,1.114
156,922.75,0.078,1.46,1.457,1.761,0.457,1.224
156,923.5,1.078,1.8,2.147,2.023,1.731,1.587
158,930.75,0.33,1.431,-0.68,1.149,-0.932,1.444
158,931.0,0.029,1.334,-0.903,1.237,-1.245,1.264
158,931.5,-0.33,1.198,-1.02,1.169,-1.242,0.883
159,943.5,-1.535,3.364,-1.059,2.334,0.866,2.028
159,943.75,-1.447,2.966,-0.962,2.189,-0.353,2.448
159,944.0,-1.253,2.81,-0.816,2.208,-0.391,1.948
159,944.25,-1.273,2.655,-0.826,2.237,-0.98,1.789
159,944.75,-0.962,2.189,-0.593,2.033,-0.812,1.627
159,945.0,-0.816,2.208,-0.563,2.033,-0.46,1.762
159,945.25,-0.826,2.237,-0.593,2.053,-0.636,2.051
159,945.75,-0.593,2.033,-0.573,2.053,-0.34,2.015
159,946.0,-0.563,2.033,-0.563,2.062,-0.342,1.991
159,946.25,-0.593,2.053,-0.573,2.062,-0.557,2.018
159,946.5,-0.563,2.053,-0.583,2.082,-0.531,2.031
159,946.75,-0.573,2.053,-0.593,2.072,-0.576,2.068
159,947.0,-0.563,2.062,-0.593,2.072,-0.556,2.097
159,947.25,-0.573,2.062,-0.583,2.062,-0.586,2.114
159,947.5,-0.583,2.082,-0.573,2.13,-0.615,2.138
159,947.75,-0.593,2.072,-0.476,2.14,-0.631,2.131
159,948.0,-0.593,2.072,-0.495,2.13,-0.615,2.116
159,948.25,-0.583,2.062,-0.34,2.043,-0.575,2.091
159,948.5,-0.573,2.13,-0.505,2.091,-0.555,2.177
159,948.75,-0.476,2.14,-0.408,2.091,-0.288,2.235
159,949.0,-0.495,2.13,0.719,1.829,-0.395,2.247
159,949.5,-0.505,2.091,1.302,1.421,-0.853,2.266
159,950.0,0.719,1.829,1.914,1.363,1.184,2.067
163,956.25,0.447,1.266,0.107,1.198,-0.669,1.558
163,956.5,0.214,1.188,0.126,1.178,-0.792,1.455
163,956.75,0.155,1.169,0.107,1.178,-0.439,1.076
163,957.0,0.146,1.169,0.107,1.178,-0.116,0.949
163,957.25,0.107,1.198,0.107,1.178,-0.029,1.016
163,957.5,0.126,1.178,0.087,1.188,0.12,1.077
163,957.75,0.107,1.178,0.107,1.198,0.097,1.126
163,958.0,0.107,1.178,0.097,1.198,0.096,1.145
163,958.25,0.107,1.178,-0.058,1.373,0.104,1.155
163,958.5,0.087,1.188,-0.058,1.606,0.046,1.179
163,958.75,0.107,1.198,-0.35,1.615,0.118,1.198
163,959.0,0.097,1.198,-0.495,1.761,0.101,1.217
163,959.25,-0.058,1.373,-0.466,1.674,-0.447,1.507
163,959.5,-0.058,1.606,-0.903,2.218,-0.329,1.967
163,959.75,-0.35,1.615,-0.903,2.393,-1.084,2.235
163,960.0,-0.495,1.761,-1.224,2.616,-1.178,2.282
163,960.25,-0.466,1.674,-1.253,2.849,-0.775,2.111
166,967.75,-1.088,2.13,-1.001,1.955,-0.856,1.509
166,968.0,-0.903,2.053,-0.962,1.868,-0.359,1.535
166,968.25,-1.049,1.897,-0.952,1.858,-1.121,1.359
166,968.5,-1.001,1.897,-0.952,1.878,-1.059,1.268
166,968.75,-1.001,1.955,-0.913,1.878,-1.071,1.59
166,969.0,-0.962,1.868,-0.894,1.878,-0.901,1.753
166,969.25,-0.952,1.858,-0.903,1.878,-0.877,1.82
166,969.5,-0.952,1.878,-0.787,1.79,-0.92,1.87
166,969.75,-0.913,1.878,-0.913,1.868,-0.835,1.893
166,970.0,-0.894,1.878,-0.291,1.246,-0.809,1.913
166,970.5,-0.787,1.79,0.078,1.917,-0.521,1.783
168,977.25,0.894,1.275,1.166,2.111,1.191,1.591
168,977.5,0.855,1.625,1.331,2.441,1.149,2.554
168,978.75,1.243,2.431,1.331,2.48,0.974,2.673
168,981.0,1.311,2.509,1.03,2.587,1.076,2.587
168,981.25,1.205,2.558,0.389,2.703,0.858,2.634
168,981.5,1.273,2.548,0.097,2.83,1.138,2.629
168,981.75,0.865,2.597,-0.058,2.762,0.022,2.751
168,982.0,1.03,2.587,-0.554,2.733,0.711,2.658
168,982.25,0.389,2.703,-0.602,2.791,-0.886,2.95
168,982.5,0.097,2.83,-0.622,2.781,-1.181,3.015
170,995.0,-1.175,1.275,-0.097,1.567,-0.334,1.597
170,995.25,-1.321,1.246,0.146,1.722,-1.457,1.739
170,995.5,-0.719,1.334,0.359,1.897,0.255,1.441
170,995.75,-0.34,1.479,0.699,2.014,1.196,1.571
170,996.0,-0.097,1.567,0.865,2.053,1.324,1.775
170,996.25,0.146,1.722,0.855,2.101,1.298,2.054
170,996.5,0.359,1.897,1.583,2.412,1.312,2.368
172,1003.25,1.564,1.693,0.835,1.868,0.783,1.73
172,1003.5,1.205,1.703,0.253,2.101,0.112,2.259
172,1003.75,0.933,1.829,-0.107,2.295,-0.236,2.162
172,1004.0,0.699,1.917,-0.253,2.538,-0.406,2.179
172,1004.25,0.835,1.868,-0.67,2.723,0.444,2.114
172,1004.75,-0.107,2.295,-1.137,2.937,-0.653,2.47
172,1006.5,-1.826,3.451,-2.73,3.442,-2.105,3.08
174,1018.25,-0.835,1.198,0.253,2.082,0.028,1.529
174,1018.75,-0.369,1.606,0.35,2.83,0.588,2.039
174,1019.0,-0.117,1.81,0.447,2.985,0.941,2.294
174,1019.25,0.253,2.082,0.894,3.141,1.502,2.691
178,1032.0,-0.146,1.645,-1.02,2.655,-0.871,2.16
178,1032.75,-0.729,2.422,-1.399,3.393,-1.282,3.267
180,1045.25,-0.942,1.275,0.427,1.431,-0.169,1.598
180,1045.5,-0.583,1.295,0.544,1.479,0.706,1.745
