ped_id,time_s,x,y,gt_x_1s,gt_y_1s,pred_x_1s,pred_y_1s
32,159.75,-0.466,2.975,-0.457,2.966,-0.585,2.944
32,160.0,-0.495,2.966,-0.427,2.985,-0.629,2.904
32,160.25,-0.495,2.946,-0.418,2.985,-0.585,2.879
32,160.5,-0.466,2.956,-0.369,2.956,-0.474,2.904
32,160.75,-0.457,2.966,0.136,2.771,-0.44,2.949
32,161.0,-0.427,2.985,0.233,2.577,-0.38,2.993
32,161.25,-0.418,2.985,0.593,2.461,-0.383,3.011
32,161.5,-0.369,2.956,0.855,2.266,-0.286,2.96
32,161.75,0.136,2.771,0.884,2.286,0.773,2.71
32,162.0,0.233,2.577,1.477,1.994,1.014,2.279
33,169.75,1.234,1.256,0.554,1.703,0.503,1.609
33,170.0,1.379,1.169,0.427,1.596,1.556,1.705
33,170.25,1.117,1.955,0.233,1.567,0.679,2.68
33,170.5,0.835,1.955,0.214,1.353,-0.166,3.034
33,170.75,0.554,1.703,0.165,1.139,-0.501,2.349
33,171.0,0.427,1.596,0.185,1.159,-0.437,1.771
34,182.75,-0.136,1.547,-0.719,2.334,-0.592,1.98
35,190.25,-1.418,3.403,-0.602,2.363,-1.49,2.278
35,190.5,-1.273,2.956,-0.33,2.208,-0.833,2.124
35,191.0,-0.67,2.635,-0.408,1.985,0.046,1.792
35,191.25,-0.602,2.363,-0.554,1.781,0.037,1.484
35,191.5,-0.33,2.208,-0.962,1.489,0.449,1.261
35,191.75,-0.408,2.053,-0.981,1.353,-0.109,1.2
35,192.0,-0.408,1.985,-1.166,1.266,-0.431,1.215
35,192.25,-0.554,1.781,-1.156,1.237,-0.928,1.169
35,192.5,-0.962,1.489,-1.098,1.285,-1.904,0.957
36,200.25,-1.302,1.188,-0.359,1.421,-0.548,1.546
36,200.5,-1.049,1.217,-0.398,1.411,-0.106,1.595
36,200.75,-0.903,1.217,0.311,1.917,-0.122,1.341
36,201.0,-0.563,1.334,0.69,1.946,0.464,1.32
36,201.25,-0.359,1.421,0.767,1.975,0.673,1.512
36,201.5,-0.398,1.411,0.816,1.994,-0.02,1.639
37,209.5,0.855,2.295,-0.175,2.354,-0.729,2.066
37,209.75,0.622,2.237,-0.476,2.461,-0.486,2.432
37,210.0,0.515,2.247,-0.816,2.703,-0.183,2.288
37,210.25,0.019,2.373,-0.311,2.441,-1.348,2.524
38,223.5,-1.117,1.256,-0.019,1.431,-0.199,1.537
38,223.75,-0.942,1.285,0.029,1.577,-0.122,1.685
38,224.0,-1.02,1.246,0.029,2.218,-0.848,1.4
38,224.25,-0.262,1.431,0.262,2.334,0.869,1.426
38,224.5,-0.019,1.431,0.272,2.781,1.513,1.491
38,224.75,0.029,1.577,0.525,3.121,0.932,1.753
39,230.25,0.369,2.538,0.68,1.79,-0.195,1.474
39,230.5,0.291,2.305,1.059,1.839,-0.059,1.493
40,236.25,1.409,1.664,0.214,1.994,-0.438,1.862
40,236.5,1.205,1.858,0.019,2.14,0.114,2.491
40,236.75,1.127,1.8,-0.369,2.363,0.515,2.279
40,237.25,0.214,1.994,-0.69,2.869,-0.578,2.107
40,237.5,0.019,2.14,-1.302,3.403,-0.918,2.126
43,250.25,-1.311,1.343,-0.457,1.664,-0.75,1.61
43,250.5,-1.263,1.334,-0.369,1.615,-0.979,1.641
43,250.75,-1.127,1.489,-0.369,1.645,-0.731,1.57
43,251.0,-0.709,1.538,0.107,1.314,0.301,1.68
45,263.0,0.534,2.946,1.749,1.683,0.231,2.136
46,268.5,0.874,2.13,0.476,2.053,-0.783,1.852
46,268.75,0.651,1.994,0.466,2.072,-0.477,1.936
46,269.0,0.554,2.033,0.408,2.033,-0.139,1.822
46,269.25,0.495,2.072,0.447,2.033,0.076,1.934
46,269.5,0.476,2.053,0.486,1.994,0.264,2.027
46,269.75,0.466,2.072,0.466,2.004,0.365,2.096
46,270.0,0.408,2.033,0.486,1.994,0.254,2.064
46,270.25,0.447,2.033,0.457,2.053,0.414,2.013
46,270.5,0.486,1.994,0.427,2.082,0.567,1.95
46,270.75,0.466,2.004,0.427,2.062,0.5,1.945
46,271.0,0.486,1.994,0.359,2.033,0.523,1.942
46,271.25,0.457,2.053,0.301,2.014,0.423,2.05
46,271.5,0.427,2.082,0.282,1.985,0.337,2.164
46,271.75,0.427,2.062,0.165,1.907,0.374,2.171
46,272.0,0.359,2.033,-0.272,1.596,0.211,2.107
46,272.25,0.301,2.014,-0.486,1.46,0.091,2.019
46,272.5,0.282,1.985,-0.758,1.382,0.123,1.938
46,272.75,0.165,1.907,-0.835,1.217,-0.118,1.824
46,273.0,-0.272,1.596,-1.185,1.246,-1.171,1.438
46,273.25,-0.486,1.46,-0.923,1.139,-1.438,0.933
46,273.5,-0.758,1.382,-1.214,1.285,-1.763,0.778
46,273.75,-0.835,1.217,-1.166,1.237,-1.524,0.632
46,274.0,-1.185,1.246,-1.263,1.324,-2.134,0.847
46,274.25,-0.923,1.139,-1.302,1.256,-1.041,0.76
46,274.5,-1.214,1.285,-1.311,1.295,-1.65,1.199
46,274.75,-1.166,1.237,-1.253,1.275,-1.346,1.219
46,275.0,-1.263,1.324,-1.341,1.256,-1.507,1.421
46,275.25,-1.302,1.256,-1.243,1.256,-1.482,1.38
49,287.75,-0.505,1.421,-0.554,2.334,0.338,1.701
49,288.5,-0.486,2.101,-1.069,3.034,-0.228,2.59
49,288.75,-0.554,2.334,-1.263,3.442,-0.664,2.928
50,296.0,-0.971,2.684,-0.223,2.286,-0.36,1.681
50,296.25,-0.787,2.431,0.359,1.781,-0.021,1.74
50,296.75,-0.165,2.218,0.991,1.586,0.942,1.62
50,297.0,-0.223,2.286,1.292,1.567,0.303,1.892
51,303.0,1.379,1.858,0.068,1.47,0.4,1.734
51,303.25,0.942,1.81,-0.165,1.479,-0.532,2.164
51,303.5,0.612,1.625,-0.311,1.392,-0.784,1.551
51,304.0,0.068,1.47,-0.981,1.256,-1.082,1.176
51,304.25,-0.165,1.479,-1.078,1.246,-1.259,1.11
51,304.5,-0.311,1.392,-1.185,1.246,-1.148,1.096
53,318.25,-0.952,2.393,0.136,2.004,-0.359,1.42
53,318.5,-0.738,2.257,0.068,1.849,0.068,1.496
53,318.75,-0.389,2.091,0.69,1.577,0.766,1.271
54,327.25,0.291,2.121,-1.039,2.723,-0.991,1.963
